Rank,Prefix,Entity,ADIF Code,Needed %
154,9M2,West Malaysia,299,56.9%
155,JX,Jan Mayen,118,56.9%
156,EP,Iran,330,56.7%
157,HK0-A,San Andres Island,216,56.7%
158,ZD7,Saint Helena,250,56.7%
159,4J,Azerbaijan,18,56.6%
160,J8,Saint Vincent,98,56.6%
161,TZ,Mali,442,56.4%
162,J6,Saint Lucia,97,56.2%
163,7Q,Malawi,440,56.1%
164,"PJ5,6",Saba & St Eustatius,N/A,55.9%
165,5N,Nigeria,450,55.6%
166,EY,Tajikistan,262,55.3%
167,CX,Uruguay,144,54.9%
168,9N,Nepal,369,54.8%
169,FH,Mayotte,169,54.7%
170,5U,Niger,187,54.6%
171,5A,Libya,436,54.6%
172,HL,Republic of Korea,137,54.6%
173,HS,Thailand,387,54.6%
174,VR,Hong Kong,321,54.5%
175,7O,Yemen,492,54.3%
176,FS,Saint Martin,213,54.1%
177,5V,Togo,483,53.9%
178,ZC4,UK Bases on Cyprus,N/A,53.9%
179,JT,Mongolia,363,53.9%
180,VP9,Bermuda,64,53.6%
181,5R,Madagascar,438,53.2%
182,4U1ITU,ITU HQ,117,53.1%
183,VP2M,Montserrat,96,53.1%
184,S9,Sao Tome & Principe,219,53.1%
185,A5,Bhutan,306,53.1%
186,XE,Mexico,50,53.0%
187,EL,Liberia,434,52.9%
188,EX,Kyrgyzstan,135,52.6%
189,FP,Saint Pierre & Miquelon,N/A,52.5%
190,9X,Rwanda,454,52.3%
191,Z6,Republic of Kosovo,522,52.2%
192,5Z,Kenya,430,52.1%
193,TN,Republic of the Congo,412,51.9%
194,J5,Guinea-Bissau,109,51.6%
195,V3,Belize,66,51.6%
196,5H,Tanzania,470,51.5%
197,3B9,Rodrigues Island,N/A,51.5%
198,BY,China,318,51.3%
199,ZL,New Zealand,170,51.1%
200,CE,Chile,112,51.0%
201,TU,Cote d'Ivoire,428,50.9%
202,ZF,Cayman Islands,N/A,50.9%
203,3X,Guinea,107,50.8%
204,S7,Seychelles Islands,379,50.7%
205,VU,India,324,50.6%
206,3A,Monaco,260,50.6%
207,"3B6,7",Agalega & St. Brandon Islands,4,50.6%
208,VP5,Turks & Caicos Islands,N/A,50.4%
209,TL,Central African Republic,N/A,50.2%
210,YI,Iraq,333,50.1%
211,5X,Uganda,286,50.0%
212,V4,Saint Kitts & Nevis,249,49.8%
213,TR,Gabon,420,49.7%
214,E3,Eritrea,51,49.7%
215,J2,Djibouti,382,49.7%
216,XT,Burkina Faso,480,49.6%
217,J3,Grenada,77,48.8%
218,ZB,Gibraltar,233,48.8%
219,PJ2,Curacao,517,48.7%
220,SU,Egypt,478,48.5%
221,9G,Ghana,424,48.5%
222,VP2E,Anguilla,12,48.0%
223,D6,Comoros,411,47.9%
224,PZ,Suriname,140,47.8%
225,CM,Cuba,70,47.7%
226,EK,Armenia,14,47.0%
227,TY,Benin,416,46.0%
228,5T,Mauritania,444,45.9%
229,TJ,Cameroon,406,45.9%
230,FR,Reunion Island,453,45.8%
231,6W,Senegal,456,45.7%
232,TI,Costa Rica,308,45.6%
233,KP2,US Virgin Islands,N/A,45.1%
234,JW,Svalbard,259,44.8%
235,OX,Greenland,237,44.1%
236,ZS,Republic of South Africa,462,44.1%
237,HK,Colombia,116,43.7%
238,FY,French Guiana,63,43.4%
239,JY,Jordan,342,42.7%
240,A9,Bahrain,304,42.6%
241,8P,Barbados,62,41.5%
242,UA2,Kaliningrad,126,41.4%
243,LU,Argentina,100,41.2%
244,HV,Vatican City,295,41.2%
245,V5,Namibia,464,40.8%
246,FG,Guadeloupe,79,40.4%
247,P4,Aruba,91,40.2%
248,9Y,Trinidad & Tobago,90,39.8%
249,FM,Martinique,84,39.4%
250,C5,The Gambia,422,39.4%
251,YB,Indonesia,327,38.9%
252,HI,Dominican Republic,72,38.4%
253,A7,Qatar,376,37.9%
254,V2,Antigua & Barbuda,94,37.4%
255,E4,Palestine,510,37.1%
256,PJ4,Bonaire,520,37.0%
257,YV,Venezuela,148,36.8%
258,HB0,Liechtenstein,251,36.4%
259,S0,Western Sahara,302,36.3%
260,VK,Australia,150,35.9%
261,OD,Lebanon,354,35.4%
262,ER,Moldova,179,34.1%
263,A4,Oman,370,32.9%
264,UN,Kazakhstan,130,31.9%
265,T7,San Marino,278,31.8%
266,3V,Tunisia,474,31.3%
267,HZ,Saudi Arabia,378,31.2%
268,Z3,North Macedonia,502,30.8%
269,JA,Japan,339,30.8%
270,SV5,Dodecanese,45,30.6%
271,7X,Algeria,400,30.2%
272,4L,Georgia,75,30.0%
273,GJ,Jersey,122,29.2%
274,ZA,Albania,7,28.9%
275,1A,Sov Military Order of Malta,N/A,28.7%
276,A6,United Arab Emirates,391,28.5%
277,EU,Belarus,27,27.1%
278,4O,Montenegro,514,26.7%
279,C3,Andorra,203,26.7%
280,GD,Isle of Man,114,26.6%
281,KP4,Puerto Rico,202,25.9%
282,PY,Brazil,108,25.5%
283,D4,Cape Verde,409,25.3%
284,LX,Luxembourg,254,25.1%
285,GU,Guernsey,106,25.0%
286,OM,Slovak Republic,504,24.6%
287,OJ0,Market Reef,167,23.8%
288,9H,Malta,257,23.2%
289,OK,Czech Republic,503,22.8%
290,PA,Netherlands,263,22.0%
291,OY,Faroe Islands,222,21.5%
292,IS0,Sardinia,225,21.5%
293,TF,Iceland,242,21.0%
294,ON,Belgium,209,20.4%
295,OH0,Aland Islands,5,20.2%
296,OZ,Denmark,221,19.7%
297,UA9,Asiatic Russia,15,19.6%
298,SV9,Crete,40,19.0%
299,9K,Kuwait,348,19.0%
300,GI,Northern Ireland,265,18.9%
301,OE,Austria,206,18.8%
302,TK,Corsica,214,18.7%
303,HB,Switzerland,287,18.4%
304,E7,Bosnia-Herzegovina,501,18.4%
305,4X,Israel,336,18.2%
306,EA9,Ceuta & Melilla,32,17.1%
307,HA,Hungary,239,16.8%
308,GW,Wales,294,16.7%
309,YL,Latvia,145,16.4%
310,S5,Slovenia,499,16.2%
311,CU,Azores,149,16.0%
312,LY,Lithuania,146,15.8%
313,EA6,Balearic Islands,21,14.7%
314,ES,Estonia,52,13.9%
315,YU,Serbia,296,13.7%
316,LA,Norway,266,13.6%
317,VE,Canada,1,13.2%
318,CN,Morocco,446,12.9%
319,9A,Croatia,497,12.9%
320,YO,Romania,275,12.8%
321,SP,Poland,269,12.4%
322,EA8,Canary Islands,29,12.1%
323,CT3,Madeira Islands,256,11.2%
324,SM,Sweden,284,11.1%
325,CT,Portugal,272,10.8%
326,EI,Ireland,245,10.5%
327,K,United States of America,291,10.5%
328,TA,Turkey,390,9.8%
329,G,England,223,9.0%
330,LZ,Bulgaria,212,8.8%
331,GM,Scotland,279,8.7%
332,5B,Cyprus,215,8.4%
333,UR,Ukraine,288,8.3%
334,UA,European Russia,54,8.1%
335,OH,Finland,224,7.1%
336,F,France,227,6.0%
337,SV,Greece,236,3.9%
338,I,Italy,248,3.7%
339,DL,Federal Republic of Germany,N/A,3.3%
340,EA,Spain,281,1.5%
